PLAY #,ODK,QTR,DN,DIST,HASH,YARD LN,PLAY TYPE,PLAY DIR,RESULT,GN/LS,OFF PLAY,OFF FORM,PERSONNEL,OFF STR,GAP,DEF FRONT,COVERAGE,BLITZ,MOTION DIR,PLAYER,YAC
1,K,1,,,,,,,,,,,,,,,,,,,
2,O,1,1.0,10.0,R,-28.0,Pass,L,Complete,32.0,DROPBACK PASS,1,20.0,L,,34.0,3.0,,,80.0,20.0
3,O,1,1.0,10.0,M,30.0,Run,R,Penalty,-5.0,INSIDE,3,11.0,L,B,34.0,3.0,,,20.0,
4,O,1,1.0,15.0,,35.0,,,,0.0,,3,10.0,L,,,,,,,
5,O,1,2.0,15.0,M,35.0,Run,L,Rush,5.0,OUTSIDE,3,10.0,L,,34.0,2.0,,L,10.0,
6,O,1,3.0,7.0,L,30.0,Pass,R,Incomplete,0.0,DROPBACK PASS,3,10.0,L,,34.0,2.0,T:A,,80.0,
7,O,1,4.0,7.0,L,30.0,,,Penalty,-5.0,,4 KING,10.0,R,,34.0,3.0,,,,
8,O,1,4.0,7.0,L,35.0,Pass,R,Incomplete,0.0,DROPBACK PASS,2,10.0,R,,34.0,3.0,W:C,,80.0,
9,D,1,1.0,10.0,L,-34.0,Pass,L,Incomplete,0.0,DROPBACK PASS,3,10.0,L,,33.0,2.0,,,12.0,
10,D,1,2.0,10.0,L,-34.0,Run,R,Rush,1.0,OUTSIDE,4,1.0,R,,24.0,2.0,S:C,R,19.0,
11,D,1,3.0,9.0,R,-35.0,Run,R,Rush,1.0,INSIDE,0 QUEEN,10.0,R,,24.0,1.0,S:C,,3.0,
12,D,1,4.0,8.0,,-36.0,Punt,,,,,5,1.0,L,,32.0,3.0,,,,
13,O,1,1.0,10.0,R,-20.0,Pass,R,Complete,4.0,DROPBACK PASS,5 QUEEN,10.0,L,,34.0,2.0,,,89.0,
14,O,1,2.0,6.0,R,-24.0,Run,L,Rush,14.0,OUTSIDE,4 KING,10.0,R,,24.0,3.0,,,3.0,
15,O,1,1.0,10.0,L,-38.0,Run,R,Rush,6.0,INSIDE,5 QUEEN,10.0,L,B,34.0,2.0,,,26.0,
16,O,1,2.0,4.0,R,-44.0,Run,L,Rush,3.0,OUTSIDE,0 PAR,20.0,L,,34.0,2.0,,L,26.0,
17,O,1,3.0,1.0,M,43.0,Run,L,Rush,8.0,INSIDE,4 KING,10.0,R,A,33.0,3.0,,,26.0,
18,O,1,1.0,10.0,L,35.0,Run,R,Rush,5.0,INSIDE,1 PAR,20.0,R,A,34.0,2.0,,R,26.0,
19,O,1,2.0,5.0,M,30.0,Pass,L,Complete,0.0,QUICK PASS,1,20.0,L,,34.0,2.0,,L,27.0,
20,O,1,3.0,5.0,L,30.0,Pass,L,Interception,0.0,DROPBACK PASS,2 KING,10.0,R,,34.0,3.0,,,,
21,D,1,1.0,10.0,M,-18.0,Run,L,Rush,2.0,INSIDE,1 QUEEN,11.0,L,B,33.0,2.0,W:C,,19.0,
22,D,1,2.0,8.0,L,-20.0,Pass,R,Incomplete,0.0,DROPBACK PASS,4,0.0,R,,34.0,3.0,,,13.0,
23,D,1,3.0,8.0,L,-20.0,Pass,L,Incomplete,0.0,DROPBACK PASS,0 QUEEN,10.0,R,,33.0,3.0,,,3.0,
24,D,1,4.0,8.0,L,-20.0,Punt,,,,,,,,,,,,,,
25,O,1,1.0,10.0,R,-39.0,Run,L,Rush,-5.0,OUTSIDE,3 KING,11.0,L,,33.0,2.0,,,27.0,
